date,lake_level,lake_extent_km2,water_depth,volume_km3
1948-12-11,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-12-12,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-12-13,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-12-14,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-12-15,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-12-16,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-12-17,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-12-18,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-12-19,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-12-20,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-12-21,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-12-22,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-12-23,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-12-24,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-12-25,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-12-26,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-12-27,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-12-28,1134.399,66841.61448016053,1134.399,75825.06062467961
1948-12-29,1134.399,66841.61448016053,1134.399,75825.06062467961
1948-12-30,1134.399,66841.61448016053,1134.399,75825.06062467961
1948-12-31,1134.399,66841.61448016053,1134.399,75825.06062467961
1949-01-01,1134.399,66841.61448016053,1134.399,75825.06062467961
1949-01-02,1134.399,66841.61448016053,1134.399,75825.06062467961
1949-01-03,1134.419,66841.61448016053,1134.419,75826.39745696924
1949-01-04,1134.419,66841.61448016053,1134.419,75826.39745696924
1949-01-05,1134.419,66841.61448016053,1134.419,75826.39745696924
1949-01-06,1134.424,66841.61448016053,1134.424,75826.73166504163
1949-01-07,1134.419,66841.61448016053,1134.419,75826.39745696924
1949-01-08,1134.419,66841.61448016053,1134.419,75826.39745696924
1949-01-09,1134.419,66841.61448016053,1134.419,75826.39745696924
